word_count,urgent_keyword_count,sentiment_score,historical_ticket_count,crisis_severity_index,recommended_grant,dropout_risk
34,0,0.1124,16,0.0000,0.00,0.0000
158,2,0.3341,18,0.4226,422.00,0.4818
185,1,0.3261,4,0.3739,373.00,0.4563
124,3,0.3164,11,0.4952,495.00,0.5917
384,7,0.7973,10,0.7500,749.00,0.6915
154,2,0.4430,4,0.4527,452.00,0.3556
182,2,0.5624,8,0.5260,525.00,0.4611
153,2,0.5497,17,0.6674,667.00,0.6273
142,2,0.3503,6,0.1945,194.00,0.1357
87,1,0.3091,17,0.3207,320.00,0.3004
66,0,0.1630,17,0.0629,62.00,0.0147
414,6,0.6608,7,0.6966,696.00,0.7078
33,2,0.1630,4,0.2769,276.00,0.3226
247,5,0.7889,19,0.9597,959.00,1.0000
142,2,0.4487,6,0.3967,396.00,0.4813
123,3,0.3111,14,0.3438,343.00,0.3933
47,1,0.2754,12,0.2332,233.00,0.1692
194,3,0.4561,5,0.5582,558.00,0.4799
46,1,0.0637,9,0.3068,306.00,0.3915
155,3,0.4660,11,0.3792,379.00,0.4491
97,1,0.3438,10,0.4510,451.00,0.3526
304,9,0.8436,7,0.8314,831.00,0.8438
160,4,0.3786,9,0.5914,591.00,0.6045
208,8,0.6693,13,0.8581,858.00,0.8807
495,7,0.5932,1,0.8195,819.00,0.7645
165,3,0.4180,1,0.5756,575.00,0.5592
172,3,0.4187,6,0.6093,609.00,0.5503
132,4,0.5240,1,0.5377,537.00,0.6263
271,9,0.8350,16,0.7996,799.00,0.7824
174,1,0.4971,19,0.4368,436.00,0.4843
171,2,0.5169,13,0.4034,403.00,0.5020
46,1,0.2183,8,0.2067,206.00,0.1511
74,1,0.3124,19,0.1348,134.00,0.0471
128,2,0.3685,12,0.4903,490.00,0.4648
248,5,0.5507,1,0.7704,770.00,0.7315
47,1,0.1792,2,0.0740,74.00,0.1417
43,0,0.3048,1,0.1233,123.00,0.1102
398,8,0.9894,7,1.0000,1000.00,1.0000
98,4,0.5630,9,0.7147,714.00,0.6674
419,5,0.6891,17,0.7268,726.00,0.7671
58,1,0.2884,3,0.2447,244.00,0.2139
166,6,0.9976,8,1.0000,1000.00,1.0000
398,5,0.7290,8,0.8696,869.00,0.7786
88,3,0.5446,8,0.6271,627.00,0.6519
82,2,0.1417,19,0.2945,294.00,0.3895
105,1,0.3453,17,0.3161,316.00,0.3934
189,6,0.7811,6,0.7626,762.00,0.6922
123,2,0.5966,8,0.3393,339.00,0.3060
490,6,0.9897,12,0.7639,763.00,0.6795
61,1,0.0908,14,0.1458,145.00,0.0541
165,3,0.4438,10,0.5656,565.00,0.5828
70,1,0.0749,3,0.0117,11.00,0.0000
188,3,0.4633,15,0.5389,538.00,0.6076
91,2,0.1226,2,0.1143,114.00,0.0429
