word_count,urgent_keyword_count,sentiment_score,historical_ticket_count,crisis_severity_index,recommended_grant,dropout_risk
1.0000,0.4000,0.2890,17,0.4630,463.00,0.4568
0.3900,0.4000,0.7443,9,0.2825,282.00,0.2360
1.0000,1.0000,0.0960,12,0.8653,865.00,0.8843
1.0000,0.2000,0.3176,8,0.3251,325.00,0.2906
0.8700,0.4000,0.3608,1,0.3757,375.00,0.2917
1.0000,0.4000,0.4859,0,0.5486,548.00,0.6234
1.0000,1.0000,0.1945,15,0.9737,973.00,0.9997
1.0000,0.6000,0.3647,19,0.6825,682.00,0.6044
1.0000,1.0000,0.0292,2,0.8499,849.00,0.8285
1.0000,0.4000,0.5413,18,0.4686,468.00,0.4488
1.0000,0.8000,0.3950,11,0.8411,841.00,0.8731
1.0000,0.4000,0.2022,11,0.6011,601.00,0.5727
1.0000,1.0000,0.1197,13,0.9333,933.00,0.9033
1.0000,1.0000,0.0608,13,0.9296,929.00,0.8370
0.9400,0.2000,0.6340,12,0.2789,278.00,0.2814
0.8900,0.2000,0.8365,9,0.2258,225.00,0.1990
1.0000,0.8000,0.3734,12,0.5988,598.00,0.6947
1.0000,0.6000,0.3732,2,0.4842,484.00,0.4050
0.3500,0.2000,0.6366,3,0.3969,396.00,0.4823
0.6000,0.2000,0.7628,1,0.2523,252.00,0.1963
0.5200,0.2000,0.6935,11,0.0937,93.00,0.0406
0.7200,0.0000,0.8951,3,0.0236,23.00,0.0896
1.0000,0.6000,0.2436,13,0.7033,703.00,0.7242
1.0000,0.2000,0.2596,6,0.5508,550.00,0.4882
1.0000,0.2000,0.4847,17,0.3612,361.00,0.4062
1.0000,1.0000,0.0985,20,1.0000,1000.00,1.0000
1.0000,0.6000,0.5278,2,0.5266,526.00,0.6175
0.3100,0.0000,0.5885,10,0.1904,190.00,0.2174
1.0000,0.6000,0.4783,1,0.6202,620.00,0.6472
1.0000,0.4000,0.3161,9,0.6474,647.00,0.7156
1.0000,1.0000,0.0676,1,0.7980,798.00,0.8300
1.0000,1.0000,0.0914,17,0.8919,891.00,0.8162
0.8300,0.4000,0.2679,10,0.5308,530.00,0.5713
0.7400,0.4000,0.8823,5,0.3442,344.00,0.3958
1.0000,0.8000,0.2049,11,0.7157,715.00,0.7973
0.9100,0.2000,0.9327,19,0.0782,78.00,0.1250
0.5200,0.2000,0.9115,10,0.3052,305.00,0.2074
1.0000,1.0000,0.1099,9,0.8451,845.00,0.8802
1.0000,0.6000,0.3491,4,0.7487,748.00,0.6566
1.0000,1.0000,0.0707,4,0.9192,919.00,0.8408
1.0000,1.0000,0.1953,1,0.9424,942.00,0.8457
1.0000,0.4000,0.4767,8,0.5597,559.00,0.5898
0.5100,0.2000,0.7589,20,0.2055,205.00,0.2665
0.9500,0.6000,0.3845,16,0.5334,533.00,0.6167
1.0000,0.2000,0.4628,14,0.3997,399.00,0.4261
0.4100,0.4000,0.9687,13,0.1420,142.00,0.1499
1.0000,0.4000,0.2263,1,0.5713,571.00,0.5557
0.4300,0.2000,0.5681,19,0.1631,163.00,0.2005
0.8200,0.2000,0.8014,18,0.2841,284.00,0.2644
1.0000,1.0000,0.0547,13,0.8989,898.00,0.9712
1.0000,1.0000,0.1798,15,0.6935,693.00,0.6137
1.0000,1.0000,0.0801,4,0.8447,844.00,0.8096
